,reviews,rating,remove_lower_punct,tokenise,changed,lemmatise
1039,Waited for 1 hour 30 mins for the food..they kept on saying 5 mins 5mins so later on decided to walk out,0,waited for 1 hour 30 mins for the food  they kept on saying 5 mins 5mins so later on decided to walk out,"['waited', 'for', '1', 'hour', '30', 'mins', 'for', 'the', 'food', 'they', 'kept', 'on', 'saying', '5', 'mins', '5mins', 'so', 'later', 'on', 'decided', 'to', 'walk', 'out']",waited 1 hour 30 min food kept saying 5 min 5mins later decided walk,waited 1 hour 30 min food kept saying 5 min 5mins later decided walk
1040,taste was good i must say but their price is extremely high!!!! behavior is not up to the mark. . .there were no soft drinks except their extremely pricey juice menu...service was very poor!!!!!,0,taste was good i must say but their price is extremely high     behavior is not up to the mark     there were no soft drinks except their extremely pricey juice menu   service was very poor,"['taste', 'was', 'good', 'i', 'must', 'say', 'but', 'their', 'price', 'is', 'extremely', 'high', 'behavior', 'is', 'not', 'up', 'to', 'the', 'mark', 'there', 'were', 'no', 'soft', 'drinks', 'except', 'their', 'extremely', 'pricey', 'juice', 'menu', 'service', 'was', 'very', 'poor']",taste good must say but price extremely high behavior not mark no soft drink except extremely pricey juice menu service very poor,taste good must say but price extremely high behavior not mark no soft drink except extremely pricey juice menu service very poor
1041,Previously I Gave 5 Star Rating And Recommend All My Friends This Place. But Today i Went There For Hang Out. Food was Completely Disgusting. I Ordered Beef Bento & The Steak Was Fully Spicy Not Properly Cooked. Mash Potato Was Not Properly Blended. and Don't Want To Talk About The Rest Of The Food. This Restaurant Used To Be Awesome But Somehow They Let Their Customer Down. I Never Coming Back And Don't Recommend Anyone Anymore To Ruin Their Evening.,0,previously i gave 5 star rating and recommend all my friends this place  but today i went there for hang out  food was completely disgusting  i ordered beef bento & the steak was fully spicy not properly cooked  mash potato was not properly blended  and don't want to talk about the rest of the food  this restaurant used to be awesome but somehow they let their customer down  i never coming back and don't recommend anyone anymore to ruin their evening,"['previously', 'i', 'gave', '5', 'star', 'rating', 'and', 'recommend', 'all', 'my', 'friends', 'this', 'place', 'but', 'today', 'i', 'went', 'there', 'for', 'hang', 'out', 'food', 'was', 'completely', 'disgusting', 'i', 'ordered', 'beef', 'bento', '&', 'the', 'steak', 'was', 'fully', 'spicy', 'not', 'properly', 'cooked', 'mash', 'potato', 'was', 'not', 'properly', 'blended', 'and', ""don't"", 'want', 'to', 'talk', 'about', 'the', 'rest', 'of', 'the', 'food', 'this', 'restaurant', 'used', 'to', 'be', 'awesome', 'but', 'somehow', 'they', 'let', 'their', 'customer', 'down', 'i', 'never', 'coming', 'back', 'and', ""don't"", 'recommend', 'anyone', 'anymore', 'to', 'ruin', 'their', 'evening']",previously gave 5 star rating and recommend friend place but today went hang food completely disgusting ordered beef bento & steak fully spicy not properly cooked mash potato not properly blended and not want talk rest food restaurant used awesome but somehow let customer never coming back and not recommend anyone anymore ruin evening,previously gave 5 star rating and recommend friend place but today went hang food completely disgusting ordered beef bento & steak fully spicy not properly cooked mash potato not properly blended and not want talk rest food restaurant used awesome but somehow let customer never coming back and not recommend anyone anymore ruin evening
1042,"Though the ambience of the restaurant was good but the food which matters the most let the restaurant down. I had the beef bento. The steak was over cooked, mashed potato was horrible (which almost made me puke) and I didn't like the mushroom as well. To me the buffalo wings lacked flavours. The only good things in the platter were the prawns and the salad. Again I had their pineapple juice which was way too grainy. They really needs to improve.",0,though the ambience of the restaurant was good but the food which matters the most let the restaurant down  i had the beef bento  the steak was over cooked  mashed potato was horrible (which almost made me puke) and i didn't like the mushroom as well  to me the buffalo wings lacked flavours  the only good things in the platter were the prawns and the salad  again i had their pineapple juice which was way too grainy  they really needs to improve,"['though', 'the', 'ambience', 'of', 'the', 'restaurant', 'was', 'good', 'but', 'the', 'food', 'which', 'matters', 'the', 'most', 'let', 'the', 'restaurant', 'down', 'i', 'had', 'the', 'beef', 'bento', 'the', 'steak', 'was', 'over', 'cooked', 'mashed', 'potato', 'was', 'horrible', '(which', 'almost', 'made', 'me', 'puke)', 'and', 'i', ""didn't"", 'like', 'the', 'mushroom', 'as', 'well', 'to', 'me', 'the', 'buffalo', 'wings', 'lacked', 'flavours', 'the', 'only', 'good', 'things', 'in', 'the', 'platter', 'were', 'the', 'prawns', 'and', 'the', 'salad', 'again', 'i', 'had', 'their', 'pineapple', 'juice', 'which', 'was', 'way', 'too', 'grainy', 'they', 'really', 'needs', 'to', 'improve']",though ambience restaurant good but food matter let restaurant beef bento steak cooked mashed potato horrible (which almost made puke) and not like mushroom well buffalo wing lacked flavour good thing platter prawn and salad pineapple juice way grainy really need improve,though ambience restaurant good but food matter let restaurant beef bento steak cooked mashed potato horrible (which almost made puke) and not like mushroom well buffalo wing lacked flavour good thing platter prawn and salad pineapple juice way grainy really need improve
1043,"This is regarding dining experience at Tree House last night(18th September 2015).I am disappointed that I could not see through the reviews before agreeing to go for dinner with friends and a one year four month old.We waited one and half hours for 3 chicken steak meals and 1 beef steak meal(there was just three options to choose from).I personally feel pricing should include the 'experience' and interior for dining out,if that is so,the pricing is high because the place is ...really really really congested.There was this loud group of boys celebrating a birthday or something,but as common sense is most uncommon these days,the small space did not affect them to share incidents about their lives as loudly as possible.The staff maybe well behaved but the waiting time for food was so dispiriting(food was served as soon as we got up to leave) that there are no pictures to share.Also, if the food was extremely exciting that would have been a totally different story.Anyway,maybe it was a bad day for me or maybe my expectations do not match the common good reviews about this place,I will never frequent this place again.",0,this is regarding dining experience at tree house last night(18th september 2015) i am disappointed that i could not see through the reviews before agreeing to go for dinner with friends and a one year four month old we waited one and half hours for 3 chicken steak meals and 1 beef steak meal(there was just three options to choose from) i personally feel pricing should include the 'experience' and interior for dining out if that is so the pricing is high because the place is    really really really congested there was this loud group of boys celebrating a birthday or something but as common sense is most uncommon these days the small space did not affect them to share incidents about their lives as loudly as possible the staff maybe well behaved but the waiting time for food was so dispiriting(food was served as soon as we got up to leave) that there are no pictures to share also  if the food was extremely exciting that would have been a totally different story anyway maybe it was a bad day for me or maybe my expectations do not match the common good reviews about this place i will never frequent this place again,"['this', 'is', 'regarding', 'dining', 'experience', 'at', 'tree', 'house', 'last', 'night(18th', 'september', '2015)', 'i', 'am', 'disappointed', 'that', 'i', 'could', 'not', 'see', 'through', 'the', 'reviews', 'before', 'agreeing', 'to', 'go', 'for', 'dinner', 'with', 'friends', 'and', 'a', 'one', 'year', 'four', 'month', 'old', 'we', 'waited', 'one', 'and', 'half', 'hours', 'for', '3', 'chicken', 'steak', 'meals', 'and', '1', 'beef', 'steak', 'meal(there', 'was', 'just', 'three', 'options', 'to', 'choose', 'from)', 'i', 'personally', 'feel', 'pricing', 'should', 'include', 'the', ""'experience'"", 'and', 'interior', 'for', 'dining', 'out', 'if', 'that', 'is', 'so', 'the', 'pricing', 'is', 'high', 'because', 'the', 'place', 'is', 'really', 'really', 'really', 'congested', 'there', 'was', 'this', 'loud', 'group', 'of', 'boys', 'celebrating', 'a', 'birthday', 'or', 'something', 'but', 'as', 'common', 'sense', 'is', 'most', 'uncommon', 'these', 'days', 'the', 'small', 'space', 'did', 'not', 'affect', 'them', 'to', 'share', 'incidents', 'about', 'their', 'lives', 'as', 'loudly', 'as', 'possible', 'the', 'staff', 'maybe', 'well', 'behaved', 'but', 'the', 'waiting', 'time', 'for', 'food', 'was', 'so', 'dispiriting(food', 'was', 'served', 'as', 'soon', 'as', 'we', 'got', 'up', 'to', 'leave)', 'that', 'there', 'are', 'no', 'pictures', 'to', 'share', 'also', 'if', 'the', 'food', 'was', 'extremely', 'exciting', 'that', 'would', 'have', 'been', 'a', 'totally', 'different', 'story', 'anyway', 'maybe', 'it', 'was', 'a', 'bad', 'day', 'for', 'me', 'or', 'maybe', 'my', 'expectations', 'do', 'not', 'match', 'the', 'common', 'good', 'reviews', 'about', 'this', 'place', 'i', 'will', 'never', 'frequent', 'this', 'place', 'again']",regarding dining experience tree house last night(18th september 2015) disappointed could not see review agreeing go dinner friend and one year four month old waited one and half hour 3 chicken steak meal and 1 beef steak meal(there three option choose from) personally feel pricing should include 'experience' and interior dining pricing high place really really really congested loud group boy celebrating birthday something but common sense uncommon day small space not affect share incident life loudly possible staff maybe well behaved but waiting time food dispiriting(food served soon got leave) no picture share also food extremely exciting would totally different story anyway maybe bad day maybe expectation not match common good review place never frequent place,regarding dining experience tree house last night(18th september 2015) disappointed could not see review agreeing go dinner friend and one year four month old waited one and half hour 3 chicken steak meal and 1 beef steak meal(there three option choose from) personally feel pricing should include 'experience' and interior dining pricing high place really really really congested loud group boy celebrating birthday something but common sense uncommon day small space not affect share incident life loudly possible staff maybe well behaved but waiting time food dispiriting(food served soon got leave) no picture share also food extremely exciting would totally different story anyway maybe bad day maybe expectation not match common good review place never frequent place
1044,Food was ok but their way of handling bill isn't very responsible.,0,food was ok but their way of handling bill isn't very responsible,"['food', 'was', 'ok', 'but', 'their', 'way', 'of', 'handling', 'bill', ""isn't"", 'very', 'responsible']",food ok but way handling bill not very responsible,food ok but way handling bill not very responsible
1045,Horrible customer service stupidest one ever never coming back,0,horrible customer service stupidest one ever never coming back,"['horrible', 'customer', 'service', 'stupidest', 'one', 'ever', 'never', 'coming', 'back']",horrible customer service stupidest one ever never coming back,horrible customer service stupidest one ever never coming back
1046,Very poor service. Comes with raw food and blood yuck! Don't even have enough glasses to serve people. Good luck if you visit,0,very poor service  comes with raw food and blood yuck  don't even have enough glasses to serve people  good luck if you visit,"['very', 'poor', 'service', 'comes', 'with', 'raw', 'food', 'and', 'blood', 'yuck', ""don't"", 'even', 'have', 'enough', 'glasses', 'to', 'serve', 'people', 'good', 'luck', 'if', 'you', 'visit']",very poor service come raw food and blood yuck not even enough glass serve people good luck visit,very poor service come raw food and blood yuck not even enough glass serve people good luck visit
1047,Disgusting taste BBQ chicken pizza was the worst.,0,disgusting taste bbq chicken pizza was the worst,"['disgusting', 'taste', 'bbq', 'chicken', 'pizza', 'was', 'the', 'worst']",disgusting taste bbq chicken pizza worst,disgusting taste bbq chicken pizza worst
1048,"Worst pizza makers in town.. ordered pizza and what i found was home cooked beef, i had to look for cheese, on a bread.. doesnâ€™t even look like the picture of pizza in your page.",0,worst pizza makers in town   ordered pizza and what i found was home cooked beef  i had to look for cheese  on a bread   doesnâ€™t even look like the picture of pizza in your page,"['worst', 'pizza', 'makers', 'in', 'town', 'ordered', 'pizza', 'and', 'what', 'i', 'found', 'was', 'home', 'cooked', 'beef', 'i', 'had', 'to', 'look', 'for', 'cheese', 'on', 'a', 'bread', 'doesnâ€™t', 'even', 'look', 'like', 'the', 'picture', 'of', 'pizza', 'in', 'your', 'page']",worst pizza maker town ordered pizza and found home cooked beef look cheese bread doesnâ€™t even look like picture pizza page,worst pizza maker town ordered pizza and found home cooked beef look cheese bread doesnâ€™t even look like picture pizza page
1049,Picture er sathe pizza r Kono mil nai..baje ekdom.. cheese to khujte hoy pizza te...,0,picture er sathe pizza r kono mil nai  baje ekdom   cheese to khujte hoy pizza te,"['picture', 'er', 'sathe', 'pizza', 'r', 'kono', 'mil', 'nai', 'baje', 'ekdom', 'cheese', 'to', 'khujte', 'hoy', 'pizza', 'te']",picture er sathe pizza r kono mil nai baje ekdom cheese khujte hoy pizza te,picture er sathe pizza r kono mil nai baje ekdom cheese khujte hoy pizza te
1050,"Waste of money.. Pizzza khub faltu . BBQ ,meat lover konta kon pizza taste bujha jayni... Tader thke spoon chawa hoislo tara oitao dyni 2uiber bolar por.. 12"" 2uita pizza sesh hobar por ondyni..:)... Totally faltu service r pizza ar crust onk beshi patla chilo..",0,"waste of money   pizzza khub faltu   bbq  meat lover konta kon pizza taste bujha jayni    tader thke spoon chawa hoislo tara oitao dyni 2uiber bolar por   12"" 2uita pizza sesh hobar por ondyni  :)    totally faltu service r pizza ar crust onk beshi patla chilo","['waste', 'of', 'money', 'pizzza', 'khub', 'faltu', 'bbq', 'meat', 'lover', 'konta', 'kon', 'pizza', 'taste', 'bujha', 'jayni', 'tader', 'thke', 'spoon', 'chawa', 'hoislo', 'tara', 'oitao', 'dyni', '2uiber', 'bolar', 'por', '12""', '2uita', 'pizza', 'sesh', 'hobar', 'por', 'ondyni', ':)', 'totally', 'faltu', 'service', 'r', 'pizza', 'ar', 'crust', 'onk', 'beshi', 'patla', 'chilo']","waste money pizzza khub faltu bbq meat lover konta kon pizza taste bujha jayni tader thke spoon chawa hoislo tara oitao dyni 2uiber bolar por 12"" 2uita pizza sesh hobar por ondyni :) totally faltu service r pizza ar crust onk beshi patla chilo","waste money pizzza khub faltu bbq meat lover konta kon pizza taste bujha jayni tader thke spoon chawa hoislo tara oitao dyni 2uiber bolar por 12"" 2uita pizza sesh hobar por ondyni :) totally faltu service r pizza ar crust onk beshi patla chilo"
1051,"Service too slow. Ordered 4 pizzas and each came at 40 minutes intervals! At the middle we were waiting, they said they forgot about the rest of the 2 pizzas! So they came to take bill. How lame! The taste of the pizzas were also below average.",0,service too slow  ordered 4 pizzas and each came at 40 minutes intervals  at the middle we were waiting  they said they forgot about the rest of the 2 pizzas  so they came to take bill  how lame  the taste of the pizzas were also below average,"['service', 'too', 'slow', 'ordered', '4', 'pizzas', 'and', 'each', 'came', 'at', '40', 'minutes', 'intervals', 'at', 'the', 'middle', 'we', 'were', 'waiting', 'they', 'said', 'they', 'forgot', 'about', 'the', 'rest', 'of', 'the', '2', 'pizzas', 'so', 'they', 'came', 'to', 'take', 'bill', 'how', 'lame', 'the', 'taste', 'of', 'the', 'pizzas', 'were', 'also', 'below', 'average']",service slow ordered 4 pizza and came 40 minute interval middle waiting said forgot rest 2 pizza came take bill lame taste pizza also average,service slow ordered 4 pizza and came 40 minute interval middle waiting said forgot rest 2 pizza came take bill lame taste pizza also average
1052,"It took them more than 2 hours to serve us 2 pizzas.And the stuffs where hanging around and not caring about anything.And when the pizza came, Oops it never came",0,it took them more than 2 hours to serve us 2 pizzas and the stuffs where hanging around and not caring about anything and when the pizza came  oops it never came,"['it', 'took', 'them', 'more', 'than', '2', 'hours', 'to', 'serve', 'us', '2', 'pizzas', 'and', 'the', 'stuffs', 'where', 'hanging', 'around', 'and', 'not', 'caring', 'about', 'anything', 'and', 'when', 'the', 'pizza', 'came', 'oops', 'it', 'never', 'came']",took 2 hour serve u 2 pizza and stuff hanging around and not caring anything and pizza came oops never came,took 2 hour serve u 2 pizza and stuff hanging around and not caring anything and pizza came oops never came
1053,worst pizza,0,worst pizza,"['worst', 'pizza']",worst pizza,worst pizza
1054,very disappointed with there service pizza. worst interior design..... total waste of money and time,0,very disappointed with there service pizza  worst interior design      total waste of money and time,"['very', 'disappointed', 'with', 'there', 'service', 'pizza', 'worst', 'interior', 'design', 'total', 'waste', 'of', 'money', 'and', 'time']",very disappointed service pizza worst interior design total waste money and time,very disappointed service pizza worst interior design total waste money and time
1055,Worse food quality with no taste & their service is so bad...Don't go there..Total wastes of money & time.. :( :(,0,worse food quality with no taste & their service is so bad   don't go there  total wastes of money & time   :( :(,"['worse', 'food', 'quality', 'with', 'no', 'taste', '&', 'their', 'service', 'is', 'so', 'bad', ""don't"", 'go', 'there', 'total', 'wastes', 'of', 'money', '&', 'time', ':(', ':(']",worse food quality no taste & service bad not go total waste money & time :( :(,worse food quality no taste & service bad not go total waste money & time :( :(
1056,I waited more than 2.69 hours and still the pizza wasn't served.,0,i waited more than 2 69 hours and still the pizza wasn't served,"['i', 'waited', 'more', 'than', '2', '69', 'hours', 'and', 'still', 'the', 'pizza', ""wasn't"", 'served']",waited 2 69 hour and still pizza not served,waited 2 69 hour and still pizza not served
1057,"Seeing the location felt good about the cafe but they were renovating so very few customers which is why asked if they will be able to serve and the staff replied yes. To our surprise they served old and smelly chicken in their BBQ set menu to both of my colleagues and burnt mushroom to me one by one with serving the third meal 40 mind after ordering. Upon complaining they discounted 37 or 47 taka from the bill silently, which only shows they knew what they were serving and still went along with it. Very disappointing. Won't visit again and will suggest my Peers to do the same.",0,seeing the location felt good about the cafe but they were renovating so very few customers which is why asked if they will be able to serve and the staff replied yes  to our surprise they served old and smelly chicken in their bbq set menu to both of my colleagues and burnt mushroom to me one by one with serving the third meal 40 mind after ordering  upon complaining they discounted 37 or 47 taka from the bill silently  which only shows they knew what they were serving and still went along with it  very disappointing  won't visit again and will suggest my peers to do the same,"['seeing', 'the', 'location', 'felt', 'good', 'about', 'the', 'cafe', 'but', 'they', 'were', 'renovating', 'so', 'very', 'few', 'customers', 'which', 'is', 'why', 'asked', 'if', 'they', 'will', 'be', 'able', 'to', 'serve', 'and', 'the', 'staff', 'replied', 'yes', 'to', 'our', 'surprise', 'they', 'served', 'old', 'and', 'smelly', 'chicken', 'in', 'their', 'bbq', 'set', 'menu', 'to', 'both', 'of', 'my', 'colleagues', 'and', 'burnt', 'mushroom', 'to', 'me', 'one', 'by', 'one', 'with', 'serving', 'the', 'third', 'meal', '40', 'mind', 'after', 'ordering', 'upon', 'complaining', 'they', 'discounted', '37', 'or', '47', 'taka', 'from', 'the', 'bill', 'silently', 'which', 'only', 'shows', 'they', 'knew', 'what', 'they', 'were', 'serving', 'and', 'still', 'went', 'along', 'with', 'it', 'very', 'disappointing', ""won't"", 'visit', 'again', 'and', 'will', 'suggest', 'my', 'peers', 'to', 'do', 'the', 'same']",seeing location felt good cafe but renovating very customer asked able serve and staff replied yes surprise served old and smelly chicken bbq set menu colleague and burnt mushroom one one serving third meal 40 mind ordering upon complaining discounted 37 47 taka bill silently show knew serving and still went along very disappointing not visit and suggest peer,seeing location felt good cafe but renovating very customer asked able serve and staff replied yes surprise served old and smelly chicken bbq set menu colleague and burnt mushroom one one serving third meal 40 mind ordering upon complaining discounted 37 47 taka bill silently show knew serving and still went along very disappointing not visit and suggest peer
1058,Very bad behavior. We asked for a mineral water and they gave us a local brand (ps:never heard of that company) . The cap was broken and expire date was removed. But they claimed that we broke the cap. We returned the water bottle. Then they immediately gave us the bill. We didn't even ask for the bill.,0,very bad behavior  we asked for a mineral water and they gave us a local brand (ps:never heard of that company)   the cap was broken and expire date was removed  but they claimed that we broke the cap  we returned the water bottle  then they immediately gave us the bill  we didn't even ask for the bill,"['very', 'bad', 'behavior', 'we', 'asked', 'for', 'a', 'mineral', 'water', 'and', 'they', 'gave', 'us', 'a', 'local', 'brand', '(ps:never', 'heard', 'of', 'that', 'company)', 'the', 'cap', 'was', 'broken', 'and', 'expire', 'date', 'was', 'removed', 'but', 'they', 'claimed', 'that', 'we', 'broke', 'the', 'cap', 'we', 'returned', 'the', 'water', 'bottle', 'then', 'they', 'immediately', 'gave', 'us', 'the', 'bill', 'we', ""didn't"", 'even', 'ask', 'for', 'the', 'bill']",very bad behavior asked mineral water and gave u local brand (ps:never heard company) cap broken and expire date removed but claimed broke cap returned water bottle immediately gave u bill not even ask bill,very bad behavior asked mineral water and gave u local brand (ps:never heard company) cap broken and expire date removed but claimed broke cap returned water bottle immediately gave u bill not even ask bill
1059,Worst food test ever I had.. I odered thai supe but its not thai supe its overloaded by ginger.. And cold coffee is not cold also .. Very bad food,0,worst food test ever i had   i odered thai supe but its not thai supe its overloaded by ginger   and cold coffee is not cold also    very bad food,"['worst', 'food', 'test', 'ever', 'i', 'had', 'i', 'odered', 'thai', 'supe', 'but', 'its', 'not', 'thai', 'supe', 'its', 'overloaded', 'by', 'ginger', 'and', 'cold', 'coffee', 'is', 'not', 'cold', 'also', 'very', 'bad', 'food']",worst food test ever odered thai supe but not thai supe overloaded ginger and cold coffee not cold also very bad food,worst food test ever odered thai supe but not thai supe overloaded ginger and cold coffee not cold also very bad food
1060,Just a disgusting place.. Mosquitoes and smell of coils everywhere. There is no scene of lake,0,just a disgusting place   mosquitoes and smell of coils everywhere  there is no scene of lake,"['just', 'a', 'disgusting', 'place', 'mosquitoes', 'and', 'smell', 'of', 'coils', 'everywhere', 'there', 'is', 'no', 'scene', 'of', 'lake']",disgusting place mosquito and smell coil everywhere no scene lake,disgusting place mosquito and smell coil everywhere no scene lake
1061,its a horrifying restaurant! we ordered some noodles and found cockroach on that! waited for 2 hours and got the food which had fried cockroach! the service is bad as hell!,0,its a horrifying restaurant  we ordered some noodles and found cockroach on that  waited for 2 hours and got the food which had fried cockroach  the service is bad as hell,"['its', 'a', 'horrifying', 'restaurant', 'we', 'ordered', 'some', 'noodles', 'and', 'found', 'cockroach', 'on', 'that', 'waited', 'for', '2', 'hours', 'and', 'got', 'the', 'food', 'which', 'had', 'fried', 'cockroach', 'the', 'service', 'is', 'bad', 'as', 'hell']",horrifying restaurant ordered noodle and found cockroach waited 2 hour and got food fried cockroach service bad hell,horrifying restaurant ordered noodle and found cockroach waited 2 hour and got food fried cockroach service bad hell
1062,Worst place ,0,worst place,"['worst', 'place']",worst place,worst place
1063,Bad manner. ... bad food quality.. totally disappointed,0,bad manner      bad food quality   totally disappointed,"['bad', 'manner', 'bad', 'food', 'quality', 'totally', 'disappointed']",bad manner bad food quality totally disappointed,bad manner bad food quality totally disappointed
1064,"their so called chef never taste a real well cooked Birany ever. ï¿½ yellow coloured rice was so dry, spice less & mutton was just boiled with out any drop of spice or oil. that Birany stuff full of extreme bad smell of rose water. whatever they think only that rose water smell can bring their accepted Hyderabadi flavour. so cheap!",0,their so called chef never taste a real well cooked birany ever  ï¿½ yellow coloured rice was so dry  spice less & mutton was just boiled with out any drop of spice or oil  that birany stuff full of extreme bad smell of rose water  whatever they think only that rose water smell can bring their accepted hyderabadi flavour  so cheap,"['their', 'so', 'called', 'chef', 'never', 'taste', 'a', 'real', 'well', 'cooked', 'birany', 'ever', 'ï¿½', 'yellow', 'coloured', 'rice', 'was', 'so', 'dry', 'spice', 'less', '&', 'mutton', 'was', 'just', 'boiled', 'with', 'out', 'any', 'drop', 'of', 'spice', 'or', 'oil', 'that', 'birany', 'stuff', 'full', 'of', 'extreme', 'bad', 'smell', 'of', 'rose', 'water', 'whatever', 'they', 'think', 'only', 'that', 'rose', 'water', 'smell', 'can', 'bring', 'their', 'accepted', 'hyderabadi', 'flavour', 'so', 'cheap']",called chef never taste real well cooked birany ever ï¿½ yellow coloured rice dry spice le & mutton boiled drop spice oil birany stuff full extreme bad smell rose water whatever think rose water smell bring accepted hyderabadi flavour cheap,called chef never taste real well cooked birany ever ï¿½ yellow coloured rice dry spice le & mutton boiled drop spice oil birany stuff full extreme bad smell rose water whatever think rose water smell bring accepted hyderabadi flavour cheap
1065,"decoration, environment & behavior is very good but the food quality is below average...worst Hyderabadi biriani I have ever tasted.. totally disappointed :(",0,decoration  environment & behavior is very good but the food quality is below average   worst hyderabadi biriani i have ever tasted   totally disappointed :(,"['decoration', 'environment', '&', 'behavior', 'is', 'very', 'good', 'but', 'the', 'food', 'quality', 'is', 'below', 'average', 'worst', 'hyderabadi', 'biriani', 'i', 'have', 'ever', 'tasted', 'totally', 'disappointed', ':(']",decoration environment & behavior very good but food quality average worst hyderabadi biriani ever tasted totally disappointed :(,decoration environment & behavior very good but food quality average worst hyderabadi biriani ever tasted totally disappointed :(
1066,Cant resist myself rating this restaurant..just yaaak...,0,cant resist myself rating this restaurant  just yaaak,"['cant', 'resist', 'myself', 'rating', 'this', 'restaurant', 'just', 'yaaak']",cant resist rating restaurant yaaak,cant resist rating restaurant yaaak
1067,Worst service ever. They always forget take order from customer.,0,worst service ever  they always forget take order from customer,"['worst', 'service', 'ever', 'they', 'always', 'forget', 'take', 'order', 'from', 'customer']",worst service ever always forget take order customer,worst service ever always forget take order customer
1068,bad kabab experience at all..,0,bad kabab experience at all,"['bad', 'kabab', 'experience', 'at', 'all']",bad kabab experience,bad kabab experience
1069,worst kabab!!,0,worst kabab,"['worst', 'kabab']",worst kabab,worst kabab
1070,"Food was average, but what turned me off was their service. They got the order wrong multiple times. They shoud work on improving their service.",0,food was average  but what turned me off was their service  they got the order wrong multiple times  they shoud work on improving their service,"['food', 'was', 'average', 'but', 'what', 'turned', 'me', 'off', 'was', 'their', 'service', 'they', 'got', 'the', 'order', 'wrong', 'multiple', 'times', 'they', 'shoud', 'work', 'on', 'improving', 'their', 'service']",food average but turned service got order wrong multiple time shoud work improving service,food average but turned service got order wrong multiple time shoud work improving service
1071,"The worst Chinese restaurant in Khilgaon area. They don't even know to make a simple fried rice, donâ€™t how to cook and serve beef sizzling. A few items found with lower standard taste. Dirty wash room. Environment and behavior of waiters are disgusting. Price is high compared to quality and quantity. Card is not accepted though card accepted sticker is hanging in the front gate. Outfit is gorgeous but inside ...!?! To get in here is only spending money eating nothing.",0,the worst chinese restaurant in khilgaon area  they don't even know to make a simple fried rice  donâ€™t how to cook and serve beef sizzling  a few items found with lower standard taste  dirty wash room  environment and behavior of waiters are disgusting  price is high compared to quality and quantity  card is not accepted though card accepted sticker is hanging in the front gate  outfit is gorgeous but inside     ?  to get in here is only spending money eating nothing,"['the', 'worst', 'chinese', 'restaurant', 'in', 'khilgaon', 'area', 'they', ""don't"", 'even', 'know', 'to', 'make', 'a', 'simple', 'fried', 'rice', 'donâ€™t', 'how', 'to', 'cook', 'and', 'serve', 'beef', 'sizzling', 'a', 'few', 'items', 'found', 'with', 'lower', 'standard', 'taste', 'dirty', 'wash', 'room', 'environment', 'and', 'behavior', 'of', 'waiters', 'are', 'disgusting', 'price', 'is', 'high', 'compared', 'to', 'quality', 'and', 'quantity', 'card', 'is', 'not', 'accepted', 'though', 'card', 'accepted', 'sticker', 'is', 'hanging', 'in', 'the', 'front', 'gate', 'outfit', 'is', 'gorgeous', 'but', 'inside', '?', 'to', 'get', 'in', 'here', 'is', 'only', 'spending', 'money', 'eating', 'nothing']",worst chinese restaurant khilgaon area not even know make simple fried rice donâ€™t cook and serve beef sizzling item found lower standard taste dirty wash room environment and behavior waiter disgusting price high compared quality and quantity card not accepted though card accepted sticker hanging front gate outfit gorgeous but inside ? get spending money eating nothing,worst chinese restaurant khilgaon area not even know make simple fried rice donâ€™t cook and serve beef sizzling item found lower standard taste dirty wash room environment and behavior waiter disgusting price high compared quality and quantity card not accepted though card accepted sticker hanging front gate outfit gorgeous but inside ? get spending money eating nothing
1072,The worst Chinese restaurant in Bangladesh. They don't even know how to cook chilli beef or simple fried rice!!! Stay away ... honestly do not spend your money on this junk!!!,0,the worst chinese restaurant in bangladesh  they don't even know how to cook chilli beef or simple fried rice    stay away     honestly do not spend your money on this junk,"['the', 'worst', 'chinese', 'restaurant', 'in', 'bangladesh', 'they', ""don't"", 'even', 'know', 'how', 'to', 'cook', 'chilli', 'beef', 'or', 'simple', 'fried', 'rice', 'stay', 'away', 'honestly', 'do', 'not', 'spend', 'your', 'money', 'on', 'this', 'junk']",worst chinese restaurant bangladesh not even know cook chilli beef simple fried rice stay away honestly not spend money junk,worst chinese restaurant bangladesh not even know cook chilli beef simple fried rice stay away honestly not spend money junk
1073,The waiters have the worst behaviour and service i have ever received from a classified hotel like Royal Orchid. i highly recommend you change your waiter body or teach them minimal manners.,0,the waiters have the worst behaviour and service i have ever received from a classified hotel like royal orchid  i highly recommend you change your waiter body or teach them minimal manners,"['the', 'waiters', 'have', 'the', 'worst', 'behaviour', 'and', 'service', 'i', 'have', 'ever', 'received', 'from', 'a', 'classified', 'hotel', 'like', 'royal', 'orchid', 'i', 'highly', 'recommend', 'you', 'change', 'your', 'waiter', 'body', 'or', 'teach', 'them', 'minimal', 'manners']",waiter worst behaviour and service ever received classified hotel like royal orchid highly recommend change waiter body teach minimal manner,waiter worst behaviour and service ever received classified hotel like royal orchid highly recommend change waiter body teach minimal manner
